,,,,,,,,,,,,,,,,,,
,RECEPTION DES COMMANDES,,,,,,,243 Commandes en instance,,,Le taux actuel du retour est 2 %,,,,,,,
,2025-07-04 00:00:00,DMND/0207/2971,MHAMED,AP,COURROIE,6PK1090SF,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/2437,MHAMED,OTTOGO,PLAQUE 92,SIIPLEX92,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/2971,MHAMED,AP,COURROIE,6PK1090SF,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/2437,MHAMED,OTTOGO,PLAQUE 92,SIIPLEX92,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/3206,MHAMED,AP,COMPRESSEUR,AC330707,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/3879,MHAMED,AFP,KIT MACHOIRE,KP1110,1.0,DEMANDE CLIENT,RECU,Erreur magasin,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/4897,MHAMED,ACR,CAPTEUR RAMPE,1473501.0,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/5718,SAMY,ACR,FILTRE A AIR,FL9087,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/9657,SAMY,OTTOGO,FILTRE HABIATCLE,HB101,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/3161,MHAMED,AP,POMPE A EAU,30-132200026,1.0,DEMANDE / GARAGE DE COLOMBES,LIVRE,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/7467,ABDELLAH,AP,FILTRE HABITACLE,ELR7275 - M110927,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/3633,SAMY,ACR,COURROIE,6PK1090SF,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/4382,MHAMED,ACR,CAPTEUR PMH,15036F,1.0,DEMANDE / AUTO CONFIANCE,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/8298,MHAMED,OTTOGO,FIAT,C1371,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/6805,MHAMED,OTTOGO,CARDAN,C1361,1.0,DEMANDE / PARIS,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/7177,MHAMED,AP,SUPPORT MOTEUR,40-0257 = 4001726,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/9971,SAMY,OTTOGO,ROTULE DE DIRECTION,TA1941 = 14520AP  ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/8890,SAMY,OTTOGO,ROTULE DE DIRECTION,TA1942 = 145221AP,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/9971,SAMY,OTTOGO,ROTULE DE DIRECTION,TA1941 = 14520AP  ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/8890,SAMY,OTTOGO,ROTULE DE DIRECTION,TA1942 = 145221AP,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/1157,MHAMED,MAPCO,RECEPTEUR,75075.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/5802,SAMY,ACR,CABLE EMBRAYAGE,200551.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/3972,ABDELLAH,ACR,DURITE EAU ,T403195,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/3738,ABDELLAH,OTTOGO,KIT JOINT,387.56,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/9090,MHAMED,AP,BOITIER EAU,67-0086 = 1336Q2,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/1996,ABDELLAH,ACR,JOINT DE CULASSE ,AD5180,1.0,DEMANDE / GARAGE DE COLOMBES,LIVRE,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/7379,ABDELLAH,CAL,JEU VIS DE CULASSE,016246B,1.0,DEMANDE / GARAGE DE COLOMBES,LIVRE,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/8012,ABDELLAH,CAL,THERMOSTAT,T403611,1.0,DEMANDE / GARAGE DE COLOMBES,LIVRE,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/4468,SAMY,OTTOGO,SONDE LAMBDA AMONT,10.7597,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/2815,MHAMED,ACR,AMMORTISSEUR ARR,G1240,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/7893,MHAMED,ACR,COURROIE ALT,6PK1153,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/4442,MHAMED,ACR,COURROIE ALT,6PK1148,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/7893,MHAMED,ACR,COURROIE ALT,6PK1153,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/4442,MHAMED,ACR,COURROIE ALT,6PK1148,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/7250,SAMY,OTTOGO,KIT EMBRAYAGE,826211 =  620 3084 00 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/1036,MHAMED,AP,DISQUES ARR,BG4661C = 19-4649,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/7250,SAMY,OTTOGO,KIT EMBRAYAGE,826211 =  620 3084 00 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/1036,MHAMED,AP,DISQUES ARR,BG4661C = 19-4649,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/3775,MHAMED,DROP,MOYEU DE ROUE,31008.0,2.0,DEMANDE / GARAGE DE COLOMBES,LIVRE,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/2259,MHAMED,OTTOGO,CONTACTEUR DE STOP,FACET  -  FAC7.1222 ,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/8356,MHAMED,ACR,CONDENSEUR,CNA5263D,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/8865,ABDELLAH,OTTOGO,CONDENSEUR,RTA5444,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/5073,ABDELLAH,AP,COUVERCLE BOITIER FILTRE A HUILE,27-2210,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/6917,ABDELLAH,CAL,"AGRAFE
PANNEAUX  PORTE",9931.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/6920,AYOUB,AP,ROTULE SUSPENSION G,825036210.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/7193,AYOUB,AP,ROTULE SUSPENSION DR,825036110.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/1232,AYOUB,AP,AMORTISSEUR AV ,334834.0,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/6020,AYOUB,AP,COUPELLE,22500.0,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3196,SAMY,MAPCO,EMETTEUR,41414.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/5981,AYOUB,DCA,COMMENDE SOUS VOLANT,80920.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/5003,SAMY,ACR,JOINT SPIE VOLANT MOTEUR,NA5298,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/6125,SAMY,ACR,BOITIER THERMOSTAT,TH48183G1,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3445,SAMY,AP,DURITE,6466VE,1.0,DEMANDE CLIENT,LIVRE,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/2341,SAMY,AP,SUPPORT MOTEUR,20073J,1.0,DEMANDE CLIENT,LIVRE,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/4802,ABDELLAH,AFP,VANNE EGR ,EG10578-12B1,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/8849,SAMY,OTTOGO,RADIATEUR HUILE,CN3307,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/2672,SAMY,OTTOGO,TRIANGLE,20020AP,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/7218,ABDELLAH,OTTOGO,JEU DE DISQUES AV,BD7041,1.0,DEMANDE / GARAGE DE COLOMBES,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/4863,ABDELLAH,OTTOGO,PLAQUETTE AV ,"PF0069
LP2069",1.0,DEMANDE / GARAGE DE COLOMBES,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/8966,AYOUB,OTTOGO,PLAQUETTE AR,LP3437,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/7885,MHAMED,ACR,DEMARREUR,LRS02474,1.0,DEMANDE / FLIX AUTO,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/4644,MHAMED,CAL,COMPRESSEUR ,870.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/5902,MHAMED,OTTOGO,GAZ134A,134A,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/8078,MHAMED,ACR,COUPELLE AMMORTISSEUR,VKDA 35330 ,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/4124,MHAMED,CAL,KIT EMBRAYAGE,602000200.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,Thu 03/07/25 à 16:23,True,
,2025-07-03 00:00:00,DMND/0307/2807,MHAMED,OTTOGO,KIT EMBRAYAGE,623304300 = 826033,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3528,SAMY,OTTOGO,TRIANGLE,20020AP,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3361,SAMY,OTTOGO,TRIANGLE,20021AP,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3528,SAMY,OTTOGO,TRIANGLE,20020AP,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3361,SAMY,OTTOGO,TRIANGLE,20021AP,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3704,MHAMED,AP,FILTRE A AIR,ELP9045 = AF-8038,6.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3406,MHAMED,AP,FILTRE GASOIL,PF-1406 = ELG5406,6.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/9637,ABDELLAH,OTTOGO,VANNE EGR,"7,24809,16,0",1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/1180,SAMY,CAL,RECEPTEUR,874899.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/1151,MHAMED,SAFA / LAD,ESSUIE GLACE,V55/V48,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/8430,MHAMED,SAFA / LAD,FILTRE A AIR,ELP9316,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/9918,ABDELLAH,CAL,SONDE TEMPERATURE D EAU ,33792F,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/9990,MHAMED,SAFA / LAD,FILTRE A HUILE,ELH4404,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-05 00:00:00,DMND/0307/5460,MHAMED,AP,COUPELLE,SM0073,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/3981,ABDELLAH,AFP,CABLE EMBRAYAGE,4680.0,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/8118,SAMY,OTTOGO,SUPPORT MOTEUR,2700021 = SPM012,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/5208,SAMY,MAPCO,SUPPORT MOTEUR,KS2700043,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/8901,MHAMED,ACR,FILTRE  AIR,EL9250 = FL9154 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/8901,MHAMED,ACR,FILTRE  AIR,EL9250 = FL9154 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/9620,SAMY,DROP,BATTERIE 70 AH EFB,,10.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/1041,MHAMED,MAPCO,BRAS DE SUSPENSION ,211821 / 211820,2.0,DEMANDE / GARAGE DE COLOMBES,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/9986,MHAMED,AP,SILENT BLOC BARRE STABILISATRICE ,10044.3,2.0,DEMANDE / GARAGE DE COLOMBES,RECU,,False,,False,,False,,True,
,2025-07-03 00:00:00,DMND/0307/5342,ABDELLAH,PSH,COMPRESSEUR DE CLIM ,"090,305,001,876",1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/1871,SAMY,OTTOGO,DISQUES AVEC ROULEMENTS,BG9031RS = BD3190R,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/5926,SAMY,MAPCO,FILTRE A AIR,ELP9382 = a141758,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/3823,SAMY,DROP,JAUGE HUILE,954139.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/3169,SAMY,OTTOGO,PLAQUETTES DE FREIN,BP4517 = LP1745 ,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/3303,ABDELLAH,MGA,ROULEMENTS,KR4112,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/6879,ABDELLAH,ACR,DISQUES BREMBO,09D77011,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/9634,ABDELLAH,ACR,PLAQUETTES DE FREIN,BP2517,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/3508,AYOUB,OTTOGO,ALTERNATEUR,TP8054,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/9731,ABDELLAH,OTTOGO,DEBITMETRE ,AF10061-11B1,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-05 00:00:00,DMND/0407/6441,ABDELLAH,AP,VANNE EGR,ELS73-0319,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/5514,AYOUB,AP,PLAQUETTES DE FREIN,LP2441 = 19-2910,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/8707,ABDELLAH,OTTOGO,SUPPORT MOTEUR,2704015.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-07 00:00:00,DMND/0407/2240,SAMY,AP,FILTRE A HUILE,OF-669 = ELH4424,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-07 00:00:00,DMND/0407/9063,SAMY,AP,FILTRE A GASOIL,PF-759 = ELG5455,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-07 00:00:00,DMND/0407/2955,SAMY,AP,FILTRE A AIR,AF8828 = elp9446,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/2294,SAMY,ACR,FILTRE HABITACLE,PC8365 = EAR7313,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-07 00:00:00,DMND/0407/2955,SAMY,AP,FILTRE A AIR,AF8828 = elp9446,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/2294,SAMY,ACR,FILTRE HABITACLE,PC8365 = EAR7313,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-04 00:00:00,DMND/0307/4317,MHAMED,MAPCO,SUPPORT MOTEUR,4001717.0,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/8201,MHAMED,MGA,CAPTEUR ABS,CABS209,1.0,DEMANDE / NORDINE 92,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/6762,MHAMED,MGA,POULIE DAMPER,DP109,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/8772,SAMY,ACR,PLAQUETTES AV BOSCH,BP1736,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/4665,MHAMED,AP,CULBUTEURS + POUSSOIR,423001210.0,8.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-07 00:00:00,DMND/0407/6093,SAMY,AP,FILTRE A AIR,AF-1314 = elp9284,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-07 00:00:00,DMND/0407/8905,ABDELLAH,PSH,AMORTISSEUR ,,1.0,DEMANDE CLIENT,RECU,Garantie,False,ven 04/07/25 à 16:37,False,ven 04/07/25 à 16:37,False,,True,
,2025-07-04 00:00:00,DMND/0407/9205,MHAMED,ACR,FLEXIBLE,SL 7006 ,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/2243,MHAMED,CAL,BARRE STAB,TC7802,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/6047,MHAMED,OTTOGO,ALTERNATEUR,IV8003  ,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/2500,MHAMED,CAL,BARRE STAB,TC7802,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/2541,MHAMED,AFP,BARRE STAB,TC7802,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/8443,SAMY,OTTOGO,ROTULE DE DIRECTION,12939AP=TA1828,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/7132,SAMY,ACR,FILTRE A HUILE,"
FT6030=ELH4406",1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/5909,SAMY,ACR,FILTRE A GASOIL,FP5923 = ELG5400,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/7132,SAMY,ACR,FILTRE A HUILE,"
FT6030=ELH4406",1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/5909,SAMY,ACR,FILTRE A GASOIL,FP5923 = ELG5400,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/6951,SAMY,OTTOGO,FILTRE HABITACLE,HB239C = EKR7275,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/7132,SAMY,ACR,FILTRE A HUILE,"
FT6030=ELH4406",1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/5909,SAMY,ACR,FILTRE A GASOIL,FP5923 = ELG5400,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/6951,SAMY,OTTOGO,FILTRE HABITACLE,HB239C = EKR7275,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,,,,,,,,,,,False,,False,,False,,False,
,2025-07-04 00:00:00,DMND/0407/4658,SAMY,ACR,FILTRE A AIR,ELP9392 = PA7776,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/3593,SAMY,CAL,CAPTEUR ABS,302116.0,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/5326,ABDELLAH,MAPCO,TRIANGLE,211300 + 211301,2.0,DEMANDE / PARIS,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/6234,SAMY,AZ,BATTERIE ,YTX20L,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/8202,MHAMED,ACR,KIT EMBRAYAGE,623353400.0,1.0,DEMANDE CLIENT,RECU,Autre,False,sam 05/07/25 à 10:26,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/2108,SAMY,ACR,CONTACTEUR FEU STOP,24902F,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0407/8169,MHAMED,MAPCO,,37584 = LP2028,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-05 00:00:00,DMND/0507/1772,MHAMED,ACR,CONTACTEUR HUILE,12630F ,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-05 00:00:00,DMND/0507/1379,MHAMED,OTTOGO,BIELLETTE BARRE  STABLE,16809AP  = TC1802 / 16810AP = TC1803,2.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/2467,AYOUB,ACR,ESSUIE GLACE,574158/574147,2.0,DEMANDE CLIENT,RECU,,False,,False,,False,,True,
,2025-07-05 00:00:00,DMND/0507/4185,MHAMED,OTTOGO,FILTRE A AIR,ELP9130,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
,2025-07-05 00:00:00,DMND/0507/3439,AYOUB,ACR,DEBIMETRE AIR,2678V,1.0,DEMANDE CLIENT,RECU,,False,,False,,False,,False,
,2025-07-08 00:00:00,DMND/0507/1569,MHAMED,AP,DISQUES AV,BG4166 = 19-2366,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,False,
